Date mutation,Nature mutation,Valeur fonciere,Code postal,Commune,Surface reelle bati,Nombre pieces principales,Surface terrain,1er lot,2eme lot,3eme lot,4eme lot,5eme lot,Type local,Adresse,Voie_Complete,Nature culture,Surface Carrez du 1er lot,Surface Carrez du 2eme lot,Surface Carrez du 3eme lot,Surface Carrez du 4eme lot,Surface Carrez du 5eme lot
07-01-2019,Vente,583000,1960.0,PERONNAS,0.0,0.0,1002.0,,,,,,Dependance,51,RUE CHAUDOUET,S,,,,,
08-01-2019,Echange,3240,1560.0,SAINT-NIZIER-LE-BOUCHOUX,0.0,,612.0,,,,,,, , LA GROSSE GRANGE,S,,,,,
08-01-2019,Echange,3240,1560.0,SAINT-NIZIER-LE-BOUCHOUX,0.0,,1004.0,,,,,,, , LA GROSSE GRANGE,T,,,,,
04-01-2019,Vente,4000,1160.0,PONT-D AIN,0.0,0.0,0.0,45.0,,,,,Dependance,9 Z,RUE GABRIEL VICAIRE,,,,,,
08-01-2019,Vente,235000,1000.0,BOURG-EN-BRESSE,196.0,9.0,388.0,,,,,,Maison,1,RUE JOACHIN DU BELLAY,S,,,,,
03-01-2019,Vente,140000,1960.0,PERONNAS,73.0,4.0,1116.0,,,,,,Maison,435,CHE DU POMMIER,S,,,,,
03-01-2019,Vente,106000,1960.0,PERONNAS,73.0,4.0,825.0,,,,,,Maison,437,CHE DU POMMIER,S,,,,,
"11-01-2019,Vente,84000,1960.0,PERONNAS,67.0,3.0,0.0,1.0,36.0,,,,Appartement,552,AV DE LYON,,,""67,08"",,,"
11-01-2019,Vente,84000,1960.0,PERONNAS,0.0,0.0,0.0,44.0,,,,,Dependance,552,AV DE LYON,,,,,,
11-01-2019,Vente,200000,1000.0,SAINT-DENIS-LES-BOURG,103.0,5.0,860.0,,,,,,Maison,95,RUE DU MARTIN PECHEUR,S,,,,,
16-01-2019,Vente,172750,1190.0,SAINT-BENIGNE,132.0,5.0,1776.0,,,,,,Maison,1587,RTE DE CUISERY,AG,,,,,
16-01-2019,Vente,172750,1190.0,SAINT-BENIGNE,132.0,5.0,1000.0,,,,,,Maison,1587,RTE DE CUISERY,S,,,,,
"16-01-2019,Vente,95000,1000.0,BOURG-EN-BRESSE,72.0,3.0,0.0,3.0,9.0,,,,Appartement,7 B,RUE CHARLES GUILLON,,,""73,3"",,,"
16-01-2019,Vente,95000,1000.0,BOURG-EN-BRESSE,0.0,0.0,0.0,18.0,,,,,Dependance,7 B,RUE CHARLES GUILLON,,,,,,
09-01-2019,Vente,82000,1000.0,BOURG-EN-BRESSE,0.0,0.0,0.0,25.0,,,,,Dependance,6,RUE DE CUIRON,,,,,,
"09-01-2019,Vente,82000,1000.0,BOURG-EN-BRESSE,74.0,4.0,0.0,4.0,59.0,66.0,,,Appartement,6,RUE DE CUIRON,,,""78,77"",,,"
03-01-2019,Vente,6000,1310.0,MONTRACOL,0.0,,6182.0,,,,,,, , CHEVRIER,P,,,,,
03-01-2019,Vente,6000,1310.0,MONTRACOL,0.0,,12393.0,,,,,,, , CHEVRIER,T,,,,,
03-01-2019,Vente,6000,1310.0,MONTRACOL,0.0,,1356.0,,,,,,, , CHEVRIER,T,,,,,
15-01-2019,Vente,133000,1000.0,BOURG-EN-BRESSE,0.0,0.0,0.0,84.0,,,,,Dependance,14 A,BD DE L HIPPODROME,,,,,,
"15-01-2019,Vente,133000,1000.0,BOURG-EN-BRESSE,77.0,4.0,0.0,79.0,91.0,,,,Appartement,14 B,BD DE L HIPPODROME,,,""79,27"",,,"
16-01-2019,Vente,9000,1000.0,BOURG-EN-BRESSE,0.0,0.0,0.0,152.0,,,,,Dependance,49,AV DE MACON,,,,,,
"21-01-2019,Vente,62500,1160.0,PONT-D AIN,130.0,0.0,0.0,3.0,9.0,,,,Local industriel. commercial ou assimile,28,RUE BERNARD GANGLOFF,,""41,87"",""45,3"",,,"
21-01-2019,Vente,62500,1160.0,PONT-D AIN,0.0,0.0,0.0,11.0,,,,,Dependance,28,RUE BERNARD GANGLOFF,,,,,,
"10-01-2019,Vente,102000,1000.0,BOURG-EN-BRESSE,52.0,2.0,0.0,24.0,43.0,,,,Appartement,52,RUE DE MONTE CASSINO,,""52,6"",,,,"
10-01-2019,Vente,102000,1000.0,BOURG-EN-BRESSE,0.0,0.0,0.0,103.0,,,,,Dependance,52,RUE DE MONTE CASSINO,,,,,,
